ph,hardness,solid,chloramine,sulfate,conductivity,carbon,trihalo,turbidity,potability
8.69,195.14,"24,656.24",8.23,,398.35,12.38,48.44,4.48,0.00
8.09,127.74,"32,653.91",6.53,,416.24,11.12,78.28,4.07,0.00
6.20,212.31,"21,815.07",7.87,,362.11,14.93,63.87,5.22,0.00
5.06,238.57,"34,873.93",8.98,374.43,669.73,13.35,76.52,5.11,0.00
,103.46,"27,420.17",8.42,,485.97,11.35,67.87,4.62,0.00
,211.20,"12,830.48",4.50,326.96,333.33,16.05,49.90,3.44,0.00
7.26,179.89,"24,964.78",5.84,349.27,501.18,17.29,50.99,3.64,0.00
7.16,183.09,"6,743.35",3.80,277.60,428.04,9.80,90.04,3.88,0.00
5.70,116.30,"33,223.58",7.05,297.08,504.38,9.00,48.15,4.16,0.00
6.22,130.94,"19,460.38",7.09,300.13,556.65,14.08,57.90,5.33,0.00
8.68,242.23,"22,984.05",7.52,,352.94,18.70,69.91,3.87,0.00
,219.30,"14,859.47",5.60,344.44,425.21,15.77,49.35,4.66,0.00
6.90,211.36,"25,650.78",6.77,,383.01,13.93,90.52,5.02,0.00
3.51,158.73,"23,029.66",6.82,286.52,307.38,9.71,79.85,3.76,0.00
3.72,163.64,"37,962.17",6.68,326.69,467.56,14.57,50.58,3.66,0.00
6.46,176.68,"24,468.05",5.76,314.80,477.58,16.25,57.73,2.29,0.00
7.32,217.52,"31,903.40",9.87,376.94,425.91,8.99,69.51,3.51,0.00
1.84,233.76,"28,689.60",7.72,,410.39,15.61,54.30,5.01,0.00
5.52,168.73,"12,531.60",7.73,,443.57,18.10,,3.76,0.00
7.41,204.96,"9,566.12",6.51,311.45,504.15,11.53,81.11,3.77,0.00
5.98,258.95,"27,267.98",7.65,383.66,514.12,12.26,82.47,2.99,0.00
6.40,133.83,"23,827.28",5.13,266.91,573.40,9.83,95.03,4.19,0.00
6.21,195.42,"13,116.71",7.88,,417.24,7.51,70.55,3.61,0.00
6.76,232.08,"27,159.38",7.88,350.45,465.41,13.86,64.81,4.92,0.00
9.92,199.18,"21,470.28",6.80,329.18,430.51,15.97,59.29,3.39,0.00
10.16,300.29,"12,652.36",6.66,398.65,487.46,9.35,67.92,5.00,0.00
8.72,206.37,"28,608.05",6.33,377.40,506.94,13.55,42.38,2.56,0.00
,197.98,"17,153.31",7.66,329.28,575.11,11.87,69.11,4.38,0.00
,199.11,"29,721.91",6.87,357.30,420.71,9.23,55.29,3.36,0.00
6.10,237.92,"20,416.84",8.46,,291.10,19.27,93.14,3.17,0.00
9.03,253.22,"27,965.07",6.59,373.55,588.32,16.15,59.12,2.02,0.00
6.95,203.15,"11,609.11",5.50,304.28,551.14,9.39,55.96,3.65,0.00
6.14,197.88,"26,687.87",7.59,329.23,548.07,15.84,41.26,5.36,0.00
7.08,220.67,"23,873.38",6.18,341.99,333.05,10.66,90.30,4.76,0.00
5.49,135.80,"21,485.15",8.19,280.60,441.33,14.86,88.29,5.07,0.00
7.21,120.33,"24,627.87",6.20,289.77,418.43,13.64,63.73,3.71,0.00
9.18,163.27,"20,868.33",7.73,320.42,426.99,10.21,62.43,3.11,0.00
4.27,166.84,"24,405.25",7.39,297.21,349.52,13.48,54.47,3.76,0.00
7.35,223.26,"11,519.05",8.89,,494.16,18.15,73.72,4.88,0.00
8.53,175.61,"11,837.12",7.48,308.40,474.24,21.85,52.37,5.08,0.00
,169.04,"36,152.82",8.33,329.04,590.75,17.70,103.15,4.00,0.00
2.61,188.80,"34,798.25",6.80,,468.08,13.17,49.52,4.77,0.00
8.49,204.12,"22,989.80",8.27,358.85,435.00,17.08,62.42,3.88,0.00
,213.54,"22,539.71",6.96,334.04,463.40,11.62,69.62,3.40,0.00
8.86,254.62,"9,624.30",7.95,348.41,344.30,7.94,78.11,5.53,0.00
6.10,190.00,"27,776.90",6.44,347.93,245.86,14.64,73.42,3.98,0.00
8.42,185.72,"13,237.99",4.00,308.14,463.65,17.21,48.78,3.96,0.00
9.29,222.66,"12,311.27",7.29,332.24,353.74,14.17,,5.24,0.00
7.88,226.28,"12,710.25",7.30,346.40,445.37,6.06,63.13,4.24,0.00
7.73,252.27,"36,477.74",8.39,426.54,339.41,17.49,60.48,3.72,0.00
3.39,212.03,"20,230.13",8.57,349.16,353.91,18.21,82.39,2.80,0.00
6.75,218.42,"21,871.84",7.17,,373.05,16.83,74.09,3.90,0.00
,190.42,"28,062.64",9.62,357.23,263.77,13.45,67.06,5.63,0.00
7.18,261.85,"14,100.97",9.01,358.72,290.42,17.15,82.03,4.60,0.00
10.11,240.43,"15,331.30",5.39,361.90,403.04,16.13,61.11,3.43,0.00
7.40,122.54,"8,855.11",6.89,241.61,489.85,13.37,,3.15,0.00
7.81,196.58,"42,550.84",7.33,,442.55,14.67,,6.20,0.00
6.88,136.88,"27,433.59",7.09,307.40,342.20,18.40,81.19,3.83,0.00
,146.97,"16,367.46",7.69,,468.95,18.60,49.56,4.66,0.00
,230.81,"27,418.78",7.14,369.31,274.66,9.58,72.38,4.20,0.00
7.52,267.06,"26,865.37",10.45,,505.71,16.24,57.04,2.88,0.00
8.55,231.25,"28,918.42",7.82,369.26,432.29,16.27,73.15,3.77,0.00
10.31,217.22,"27,653.24",8.91,369.53,382.95,6.58,59.58,3.29,0.00
,252.67,"29,368.67",9.91,433.95,465.22,13.22,84.20,5.05,0.00
7.37,207.72,"24,913.84",9.62,362.30,363.17,11.54,67.72,4.41,0.00
11.18,228.30,"16,600.39",6.09,,504.05,15.04,110.74,3.81,0.00
6.51,202.29,"17,087.08",6.20,326.66,481.77,16.54,46.21,3.55,0.00
6.64,151.89,"10,909.19",3.75,240.94,437.91,15.26,64.20,3.81,0.00
5.03,155.32,"34,971.81",7.12,320.12,500.64,18.31,63.19,3.24,0.00
6.91,155.74,"17,973.18",4.92,275.91,439.65,18.38,55.51,2.61,0.00
7.98,245.90,"32,170.07",9.64,399.58,473.66,11.73,23.82,3.55,0.00
6.08,197.50,"35,957.79",8.13,379.53,360.06,20.10,41.87,4.20,0.00
6.24,191.91,"28,149.41",7.13,319.31,448.24,19.37,60.94,4.51,0.00
6.06,160.77,"14,775.15",7.48,305.83,327.27,12.31,69.04,3.47,0.00
8.13,177.90,"27,834.22",9.01,334.44,397.02,15.94,81.39,3.36,0.00
9.56,202.01,"13,041.83",5.82,327.12,433.38,14.14,63.55,3.76,0.00
8.17,200.91,"27,141.36",7.26,344.16,525.60,16.14,66.23,4.29,0.00
8.59,270.02,"15,791.68",5.91,,672.56,20.18,54.96,3.57,0.00
,167.39,"20,944.62",4.96,,566.34,11.32,,3.68,0.00
6.83,187.05,"46,140.13",6.14,352.70,373.43,12.61,58.75,3.03,0.00
7.86,204.27,"25,145.02",7.92,338.21,469.49,15.99,86.17,4.16,0.00
4.97,220.85,"21,802.74",6.25,311.60,386.41,18.04,53.91,3.42,0.00
6.21,192.94,"13,442.60",5.82,325.91,533.80,14.69,60.49,3.55,0.00
,157.00,"20,067.11",8.07,,490.91,17.32,71.97,4.42,0.00
9.77,264.27,"8,471.68",8.35,359.27,353.20,15.05,52.65,4.64,0.00
9.63,152.86,"23,641.70",6.93,333.15,417.17,16.67,90.00,4.92,0.00
5.19,104.75,"20,060.08",6.91,,368.82,15.14,98.66,3.20,0.00
7.63,199.65,"16,312.15",9.90,358.57,420.53,10.54,100.24,2.93,0.00
5.77,155.05,"24,909.44",6.53,297.01,313.70,11.70,85.69,4.69,0.00
6.58,197.23,"17,657.08",4.51,290.29,254.39,9.85,73.75,4.58,0.00
4.80,180.77,"13,556.73",8.98,322.06,587.40,12.40,62.03,4.42,0.00
7.95,238.24,"19,129.46",5.85,,434.66,8.66,67.30,3.69,0.00
6.91,216.79,"19,991.24",7.30,340.11,356.46,9.61,61.12,2.12,0.00
,281.27,"22,452.09",6.77,343.64,395.34,14.90,67.13,4.44,0.00
,190.78,"12,224.31",4.65,308.56,399.27,11.88,61.89,3.46,0.00
8.46,212.58,"34,406.78",8.68,384.86,477.34,13.80,,3.77,0.00
7.73,233.95,"21,667.87",6.31,340.27,472.26,14.40,36.58,3.72,0.00
,247.66,"19,549.50",8.77,,438.87,16.62,64.95,3.78,0.00
8.93,241.88,"22,821.25",8.55,367.98,380.20,10.86,75.86,4.60,0.00
6.21,153.22,"17,358.80",8.21,328.28,481.20,14.27,62.72,4.33,0.00
6.13,141.49,"9,615.83",7.63,277.95,415.01,16.44,50.69,4.63,0.00
,202.25,"11,981.74",9.19,339.98,416.59,14.08,62.77,2.68,0.00
7.31,274.70,"14,600.54",8.11,384.56,415.61,16.76,68.94,3.70,0.00
,170.10,"39,906.19",6.55,,515.39,13.52,40.51,4.35,0.00
8.64,201.57,"26,473.71",6.97,352.31,309.98,17.67,68.66,5.26,0.00
,205.51,"20,406.93",6.81,355.27,482.33,12.34,70.58,4.10,0.00
8.15,127.14,"10,280.93",5.83,267.64,487.91,11.94,90.62,2.91,0.00
8.29,206.16,"35,216.39",6.44,347.06,399.48,16.07,79.95,3.95,0.00
,233.85,"21,136.29",6.69,,332.74,9.75,77.53,3.31,0.00
,237.68,"26,009.08",7.07,372.60,344.77,14.44,72.70,3.71,0.00
9.49,234.07,"15,513.74",4.74,,277.97,16.70,81.43,4.22,0.00
7.83,190.80,"7,695.06",4.85,292.52,507.45,15.53,85.01,4.59,0.00
4.43,139.69,"28,862.26",8.96,298.38,434.78,17.30,63.04,4.38,0.00
7.24,201.19,"23,783.10",7.75,340.98,579.22,13.49,62.65,3.56,0.00
,260.21,"19,517.72",8.76,368.82,251.02,12.80,48.65,3.67,0.00
6.87,174.18,"24,112.15",5.53,297.66,484.12,11.48,65.30,3.82,0.00
6.13,200.28,"30,989.95",8.83,348.87,341.39,9.30,79.55,4.62,0.00
7.92,278.06,"27,192.28",9.22,424.79,358.78,15.05,56.84,3.66,0.00
6.51,181.87,"29,136.81",7.69,345.75,475.34,12.32,52.44,4.85,0.00
5.32,232.37,"37,625.75",8.88,380.58,580.90,12.29,55.31,2.88,0.00
6.77,168.94,"11,067.18",7.12,305.79,289.54,18.55,62.00,5.22,0.00
5.88,141.62,"13,652.29",5.70,279.78,538.50,12.03,67.91,4.03,0.00
9.53,201.96,"9,472.61",6.11,319.58,259.64,15.63,,2.77,0.00
6.34,225.03,"45,222.51",5.81,363.01,435.50,11.39,80.67,3.69,0.00
8.66,284.10,"27,088.48",7.90,,512.28,16.91,72.47,3.67,0.00
5.65,146.59,"16,462.46",6.50,299.64,272.44,13.80,87.82,5.20,0.00
6.63,112.30,"25,839.89",7.66,312.25,327.25,19.41,85.79,4.19,0.00
7.79,176.87,"18,344.68",7.57,338.23,371.22,9.04,76.29,4.17,0.00
7.59,261.57,"18,371.06",6.30,,387.63,16.58,51.83,3.38,0.00
7.36,185.69,"16,268.45",5.32,316.92,419.26,16.02,64.68,4.41,0.00
9.32,129.82,"16,002.14",4.41,271.67,499.84,13.08,82.84,4.21,0.00
3.72,248.86,"23,590.93",7.68,351.56,427.50,20.39,38.60,2.72,0.00
6.66,216.44,"20,571.85",8.98,,336.83,17.75,71.70,2.95,0.00
9.87,214.17,"15,326.86",3.35,297.08,424.29,19.19,70.07,3.36,0.00
5.59,229.19,"35,370.74",7.99,,469.41,13.28,76.99,4.73,0.00
5.55,229.12,"31,344.46",7.76,,306.87,13.97,87.27,2.10,0.00
4.13,125.47,"11,215.95",5.37,261.44,445.24,18.58,86.43,4.46,0.00
5.97,230.45,"16,324.12",5.29,315.19,327.79,13.33,39.55,5.43,0.00
,229.77,"16,162.26",4.93,,448.85,8.82,,4.60,0.00
8.37,183.50,"12,975.90",6.60,315.90,493.47,12.99,87.03,3.63,0.00
6.28,190.02,"12,206.68",7.91,,395.26,13.25,58.93,3.38,0.00
11.27,161.90,"6,040.37",7.21,,316.54,11.77,25.53,4.15,0.00
9.30,163.04,"13,990.51",4.25,,399.48,15.37,83.92,3.68,0.00
7.90,154.27,"7,769.62",7.21,258.31,407.73,16.42,63.02,4.24,0.00
7.95,269.81,"34,440.77",6.96,390.10,425.63,13.75,56.64,3.70,0.00
10.03,224.27,"14,962.18",7.43,336.97,517.51,18.86,65.36,4.18,0.00
6.49,225.48,"34,864.43",8.95,385.51,324.51,12.70,97.11,4.59,0.00
5.87,207.73,"22,244.22",6.60,352.56,465.62,14.84,77.82,4.69,0.00
,220.81,"21,410.32",6.32,335.85,382.20,9.50,86.99,3.66,0.00
5.30,160.97,"25,299.51",6.29,300.50,497.79,15.01,61.12,4.17,0.00
7.53,186.92,"11,642.73",5.89,,363.51,10.74,49.57,3.46,0.00
4.08,207.84,"18,194.95",7.92,,288.37,13.31,35.82,2.76,0.00
,105.86,"37,928.14",5.61,,358.89,12.21,71.12,3.87,0.00
7.09,189.15,"4,304.49",3.62,259.37,400.90,12.99,63.90,3.42,0.00
6.27,213.44,"24,846.14",8.37,,543.39,17.92,84.58,5.30,0.00
7.96,276.73,"17,162.40",7.84,397.43,514.42,14.53,60.56,3.45,0.00
8.88,228.92,"28,487.71",5.32,351.96,474.77,14.68,52.58,4.01,0.00
,192.45,"18,257.57",7.47,313.78,462.40,13.93,53.19,4.36,0.00
6.61,141.13,"25,648.57",7.22,295.24,374.77,14.04,74.30,3.54,0.00
7.74,137.32,"16,723.98",7.68,282.54,595.33,18.76,63.04,2.15,0.00
9.93,238.71,"10,704.60",6.11,351.60,405.90,13.55,59.46,4.70,0.00
9.00,202.99,"19,523.12",7.24,330.36,366.49,15.69,55.70,4.90,0.00
5.10,273.41,"26,307.30",10.22,380.20,513.88,18.27,61.43,4.35,0.00
8.59,263.76,"23,220.12",6.39,383.96,588.85,13.58,86.19,4.75,0.00
7.08,112.82,"8,580.25",4.21,234.85,434.75,23.40,94.16,3.89,0.00
7.68,180.70,"12,105.72",5.40,296.24,469.84,15.83,61.80,3.78,0.00
,133.81,"18,272.51",5.91,,415.21,11.50,92.98,3.31,0.00
6.42,208.76,"30,759.68",7.77,,523.60,20.23,,3.10,0.00
4.44,178.96,"25,008.53",4.95,298.58,429.54,17.73,56.35,3.27,0.00
6.98,183.24,"23,114.45",6.50,323.16,470.08,16.08,66.00,4.77,0.00
6.62,203.03,"17,167.30",6.05,311.73,410.24,15.91,65.02,2.92,0.00
3.66,201.10,"28,102.76",5.68,330.02,291.15,17.47,75.10,3.32,0.00
4.81,205.21,"17,650.41",8.12,350.49,414.03,11.00,47.40,5.19,0.00
5.78,199.59,"24,160.35",9.46,,428.55,16.02,64.87,4.66,0.00
6.94,177.58,"12,626.20",7.38,,439.62,9.35,83.16,3.72,0.00
7.44,208.09,"28,544.62",6.50,339.02,522.79,17.12,65.31,3.73,0.00
4.72,252.27,"22,833.19",5.92,378.56,411.30,16.58,66.73,3.92,0.00
9.38,265.06,"15,156.79",4.27,333.33,503.17,11.29,99.02,4.03,0.00
7.81,187.32,"20,418.89",7.21,325.23,351.19,16.80,68.49,4.03,0.00
9.44,143.79,"20,724.93",7.70,,469.76,14.22,66.08,4.41,0.00
9.41,216.76,"27,948.59",6.16,355.47,347.98,16.34,32.11,3.10,0.00
6.32,207.26,"8,532.14",5.99,286.49,491.77,10.55,74.50,4.50,0.00
,217.37,"17,984.33",8.59,,409.22,10.21,18.40,3.61,0.00
4.71,103.17,"19,555.77",6.77,,370.18,9.18,93.90,3.44,0.00
8.90,222.26,"8,870.90",6.01,332.00,425.23,10.85,,3.70,0.00
6.58,272.98,"37,169.44",8.11,416.08,351.48,15.13,79.26,4.20,0.00
6.76,231.26,"18,536.70",8.76,342.55,385.11,13.89,79.30,5.16,0.00
9.45,145.81,"13,168.53",9.44,310.58,592.66,8.61,77.58,3.88,1.00
9.02,128.10,"19,859.68",8.02,300.15,451.14,14.77,73.78,3.99,1.00
,169.97,"23,403.64",8.52,,475.57,12.92,50.86,2.75,1.00
6.80,242.01,"39,143.40",9.50,187.17,376.46,11.43,73.78,3.85,1.00
7.17,203.41,"20,401.10",7.68,287.09,315.55,14.53,74.41,3.94,1.00
7.66,236.96,"14,245.79",6.29,373.17,416.62,10.46,85.85,2.44,1.00
8.32,207.25,"28,049.65",8.83,297.81,358.73,18.71,60.91,4.05,1.00
5.93,223.86,"23,249.65",4.60,,277.38,11.37,66.62,5.22,1.00
9.80,98.77,"27,357.46",9.22,323.20,512.43,14.17,59.45,2.76,1.00
6.10,215.27,"15,976.93",8.86,308.48,417.84,13.15,62.51,3.54,1.00
5.00,280.08,"26,849.19",6.13,374.23,297.61,15.57,70.56,3.40,1.00
4.82,217.69,"16,392.14",7.46,278.74,481.48,15.52,77.69,4.38,1.00
6.55,278.59,"25,508.39",6.75,366.87,497.32,16.56,79.32,3.61,1.00
13.18,47.43,"19,237.95",8.91,375.15,500.25,12.08,,4.11,1.00
6.62,233.66,"19,598.86",4.70,432.56,401.67,11.77,73.19,4.44,1.00
7.79,212.69,"29,879.06",7.00,360.67,359.57,14.83,83.86,3.37,1.00
5.19,211.09,"14,866.10",7.24,323.11,388.72,17.78,83.51,3.86,1.00
5.63,230.86,"14,442.42",5.21,,346.55,11.37,43.20,1.94,1.00
6.87,251.29,"21,728.82",8.80,279.78,539.47,12.99,56.41,4.73,1.00
9.06,155.36,"15,737.47",7.25,343.23,463.39,17.85,83.18,3.65,1.00
7.29,127.54,"27,784.05",9.75,247.34,439.65,17.29,59.56,5.33,1.00
7.28,175.22,"22,644.77",7.89,293.31,373.35,17.41,56.80,5.06,1.00
6.51,229.26,"22,475.05",12.58,192.03,479.50,9.98,66.67,4.61,1.00
7.21,175.87,"35,804.29",8.07,320.10,468.56,16.16,71.15,3.76,1.00
,156.52,"16,146.16",6.63,352.35,629.28,13.51,42.34,3.77,1.00
5.32,280.09,"35,344.66",13.04,180.21,392.42,10.50,55.08,4.43,1.00
7.08,169.47,"29,846.72",5.44,350.40,353.03,18.96,30.39,3.49,1.00
5.33,224.79,"28,897.49",6.05,,360.18,12.25,67.15,5.09,1.00
10.76,81.71,"25,999.95",8.48,318.43,392.70,12.72,52.25,4.66,1.00
6.29,258.30,"13,777.38",7.48,328.68,563.43,16.46,73.52,4.10,1.00
9.79,129.87,"20,682.73",9.39,291.98,427.12,11.85,78.71,2.95,1.00
8.21,167.10,"13,933.09",10.42,243.49,391.07,13.75,61.06,4.98,1.00
6.94,173.33,"20,111.82",6.70,,374.49,19.94,,4.56,1.00
10.36,136.32,"48,621.56",9.16,327.92,365.72,17.98,77.36,4.20,1.00
7.96,171.48,"23,625.81",9.54,259.98,327.62,16.12,107.75,4.70,1.00
3.88,243.81,"7,751.81",0.53,,341.29,12.99,60.11,3.73,1.00
5.67,216.04,"15,949.15",7.50,,372.54,17.90,77.46,3.83,1.00
10.00,143.09,"46,113.96",12.91,,574.56,16.96,36.77,4.75,1.00
6.55,198.81,"34,006.42",8.69,274.90,477.16,14.37,78.17,4.69,1.00
7.63,156.79,"26,244.04",8.34,255.04,495.97,13.63,65.60,4.18,1.00
4.79,268.72,"17,862.37",4.55,377.24,608.85,10.81,83.70,3.26,1.00
7.71,181.94,"6,552.63",5.39,390.60,516.28,17.01,58.24,4.29,1.00
8.29,211.22,"20,008.13",8.77,275.77,475.91,12.61,66.61,3.42,1.00
6.19,225.68,"12,883.73",4.74,,389.41,14.56,76.46,3.47,1.00
9.03,121.44,"15,618.17",6.16,372.93,390.66,15.03,63.13,4.93,1.00
6.14,236.67,"8,081.47",6.25,,416.24,12.78,106.04,3.26,1.00
7.13,178.37,"25,840.58",7.49,312.98,323.30,16.41,69.16,3.42,1.00
,191.29,"21,948.33",5.63,355.49,509.41,16.69,84.11,4.11,1.00
5.42,187.78,"35,902.72",4.36,,454.52,6.37,103.37,4.51,1.00
8.08,195.80,"29,483.60",10.49,298.74,321.75,9.75,72.73,3.68,1.00
,225.29,"22,511.69",7.06,377.13,291.35,11.59,72.51,4.08,1.00
10.05,132.83,"11,557.03",8.55,323.51,442.77,13.38,92.18,5.13,1.00
5.67,229.93,"16,953.90",8.77,293.57,554.12,14.25,54.44,3.63,1.00
,181.69,"27,776.18",7.59,298.23,417.63,8.63,72.92,3.81,1.00
8.92,135.94,"27,919.77",12.36,,415.63,11.95,69.31,4.16,1.00
6.43,225.61,"15,596.47",6.15,,466.04,18.02,87.16,4.18,1.00
6.96,201.72,"11,348.68",4.30,,468.59,10.49,89.69,4.98,1.00
5.87,203.33,"19,216.68",9.21,,420.29,11.12,65.23,5.41,1.00
6.80,187.78,"15,300.84",7.49,316.96,498.67,19.60,55.40,5.16,1.00
10.04,113.83,"16,266.43",7.94,363.87,557.49,13.20,75.23,3.81,1.00
,273.26,"44,506.44",8.41,233.79,485.65,14.71,52.16,4.12,1.00
7.30,235.74,"36,043.71",5.20,377.19,385.61,17.05,89.62,4.17,1.00
,161.83,"29,299.12",7.03,350.43,375.78,19.76,86.70,3.50,1.00
5.86,185.07,"44,069.27",4.38,412.69,331.57,15.31,59.61,5.51,1.00
7.29,174.48,"33,991.65",9.51,259.16,435.11,16.29,81.69,4.47,1.00
8.06,200.49,"11,567.89",9.89,,510.41,10.65,40.99,4.47,1.00
7.82,157.18,"23,318.19",9.08,324.85,294.64,17.19,72.57,3.53,1.00
11.30,77.46,"39,227.62",8.52,337.50,410.86,14.33,53.12,3.31,1.00
6.59,233.51,"25,589.61",9.79,,489.70,14.39,46.46,2.35,1.00
9.16,119.84,"26,618.06",6.11,343.29,379.73,10.90,54.58,4.89,1.00
,144.82,"14,507.02",5.82,353.61,290.89,8.94,67.59,5.92,1.00
4.64,307.71,"16,115.93",7.71,,439.94,18.44,60.15,3.98,1.00
7.80,188.39,"32,704.57",11.08,258.19,507.18,18.27,85.18,4.11,1.00
5.56,256.21,"11,245.74",7.21,329.34,369.56,15.64,51.15,2.29,1.00
7.89,213.05,"38,852.03",11.17,281.70,326.12,10.39,64.66,4.59,1.00
7.44,193.12,"13,551.95",4.31,,430.49,19.40,72.08,2.66,1.00
3.66,275.77,"23,736.82",9.10,,426.23,17.99,55.69,3.31,1.00
9.60,167.09,"21,153.32",7.94,346.08,335.20,14.35,50.64,5.15,1.00
6.96,212.76,"29,957.19",7.68,321.25,378.09,13.13,72.09,3.99,1.00
7.67,152.88,"22,989.35",6.23,343.44,401.14,14.25,64.29,4.27,1.00
6.74,220.10,"24,694.74",8.37,,384.31,6.75,8.18,4.06,1.00
,163.22,"18,570.29",8.11,296.19,463.74,16.90,61.35,4.14,1.00
5.38,240.02,"18,189.39",5.55,397.70,551.48,12.82,79.78,4.17,1.00
7.02,264.53,"15,978.36",10.96,262.06,412.71,5.32,76.02,4.97,1.00
